,Title,Genre,Production,Actor,Producer,Rate,Rate_percent,Imdb
275,خوب، بد، جلف 2: ارتش سری (با زیرنویس مخصوص ناشنوایان),کمدی - اکشن,1398,"['سام درخشانی', 'پژمان جمشیدی', 'حامد کمیلی', 'ریحانه پارسا', 'فرهاد آئیش', 'گوهر خیراندیش', 'علی اوجی']",پیمان قاسم خانی,1038,86%,
276,کشتارگاه (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1398,"['امیرحسین فتحی', 'مانی حقیقی', 'باران کوثری', 'حسن پورشیرازی']",عباس امینی,197,82%,5.7
277,اکسیدان (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1395,"['جواد عزتی', 'امیر جعفری', 'شبنم مقدمی', 'شقایق دهقان', 'رضا بهبودی', 'لیندا کیانی']",حامد محمدی,165,86%,5.3
278,کاتیوشا (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1396,"['هادی حجازی فر', 'احمد مهرانفر', 'لیلا اوتادی', 'میترا حجار', 'بیژن بنفشه خواه', 'ارژنگ امیرفضلی']",علی عطشانی,332,87%,4.2
279,ماجرای نیمروز 2 : رد خون (با زیرنویس مخصوص ناشنوایان),اکشن - ماجراجویی,1397,"['محسن کیایی', 'بهنوش طباطبایی', 'جواد عزتی', 'هادی حجازی فر', 'هستی مهدوی فر', 'مهدی زمین پرداز', 'حسین مهری', 'امیرحسین هاشمی']",محمدحسین مهدویان,302,90%,6.4
280,ماجرای نیمروز (با زیرنویس مخصوص ناشنوایان),اکشن - ماجراجویی,1395,"['مهرداد صدیقیان', 'احمد مهرانفر', 'هادی حجازی فر', 'مهدی زمین پرداز', 'لیندا کیانی', 'حسین مهری', 'جواد عزتی', 'مهدی پاکدل', 'امیرحسین هاشمی']",محمدحسین مهدویان,331,95%,6.8
281,درساژ (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1396,"['علی مصفا', 'شبنم مقدمی', 'یسنا میرطهماسب', 'نگار مقدم', 'لطف الله سیفی']",پویا بادکوبه,76,68%,5.6
282,زیرنظر (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1397,"['رضا عطاران', 'امیر جعفری', 'مهران احمدی', 'سروش جمشیدی', 'آزاده صمدی', 'سامیه لک', 'امیر نوری']",مجید صالحی,407,82%,4.9
283,مطرب (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1398,"['پرویز پرستویی', 'الناز شاکردوست', 'محسن کیایی', 'مهران احمدی', 'حسین امیدی', 'عایشه گل جوشکن', 'امین مقدم', 'محمدسام یوسفی']",مصطفی کیایی,279,86%,4.4
284,طلا (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['نگار جواهریان', 'هومن سیدی', 'طناز طباطبایی', 'هدی زین العابدین', 'مهرداد صدیقیان', 'احترام برومند']",پرویز شهبازی,252,86%,5.3
285,حکایت دریا (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1395,"['علی نصیریان', 'داریوش اسدزاده', 'فاطمه معتمدآریا', 'لیلا حاتمی', 'علی مصفا', 'پانته آ پناهی ها', 'مریم بوبانی', 'صابر ابر', 'بهمن فرمان آرا']",بهمن فرمان آرا,85,78%,4.7
286,مهمانخانه ماه نو (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['مهناز افشار', 'ماساتوشی ناگاسه', 'لاله مرزبان', 'علی شادمان']",تاکفومی تسوتسویی,83,73%,
287,عصر جمعه (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1384,"['هانیه توسلی', 'مهرداد صدیقیان', 'رامین راستاد']",مونا زندی حقیقی,95,81%,6.1
288,تگزاس 2 (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1398,"['مهدی هاشمی', 'سام درخشانی', 'پژمان جمشیدی', 'ژاله صامتی', 'گابریلا پتری', 'بهرنگ علوی', 'رضا ناجی', 'امید روحانی', 'آدریانو تولوزا', 'نادر سلیمانی', 'تی آگو متوس']",سید مسعود اطیابی,493,88%,4.1
289,قصر شیرین (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['حامد بهداد', 'ژیلا شاهی', 'یونا تدین', 'نیوشا علیپور']",رضا میر کریمی,123,85%,6.6
290,متری شیش و نیم (با زیرنویس مخصوص ناشنوایان),اکشن - پلیسی معمایی,1397,"['پیمان معادی', 'نوید محمدزاده', 'پریناز ایزدیار', 'فرهاد اصلانی', 'هومن کیایی', 'مازیار سیدی']",سعید روستایی,432,93%,8.0
291,درخونگاه (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1396,"['امین حیایی', 'ژاله صامتی', 'مهراوه شریفی نیا', 'محمود جعفری', 'منصور شهبازی', 'فاطمه مرتاضی', 'افشین سنگ چاپ', 'جمشید هاشم پور', 'نادر فلاح', 'پانته آ پناهی ها']",سیاوش اسعدی,645,89%,5.8
292,قسم (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['مهناز افشار', 'سعید آقاخانی', 'حسن پورشیرازی', 'مهران احمدی', 'حسین ملکی', 'گیتی معینی', 'سامان ارسطو']",محسن تنابنده,177,92%,6.3
293,آشفته گی (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['بهرام رادان', 'مهناز افشار', 'نازنین صلح جو', 'نسیم ادبی']",فریدون جیرانی,248,61%,3.8
294,میلیونر میامی (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1395,"['حمید فرخ نژاد', 'علی قربان زاده', 'طناز طباطبایی', 'صابر ابر', 'افسانه بایگان', 'آتیلا پسیانی']",سعید ملکان,89,68%,3.7
295,هفت و نیم (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['ندا جبرائیلی', 'هستی مهدوی فر', 'آناهیتا افشار', 'فرشته حسینی', 'شیدا خلیق', 'افسانه کمالی', 'محمدرضا غفاری', 'علیرضا کمالی', 'حسین مهری']",نوید محمودی,200,82%,6.3
296,خروج (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1398,"['فرامرز قریبیان', 'پانته آ پناهی ها', 'جهانگیر الماسی', 'سام قریبیان', 'کامبیز دیرباز', 'گیتی قاسمی', 'محمدرضا شریفی نیا', 'محمد فیلی', 'مهدی فقیه', 'رامین پورایمان', 'محسن صادقی نسب', 'آتش تقی پور', 'اکبر رحمتی', 'حمید ابراهیمی']",ابراهیم حاتمی کیا,589,92%,5.1
297,آپارتمان آقای هنرپیشه (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1394,"['فتحعلی اویسی', 'کیانوش گرامی', 'مهران رجبی', 'افشین سنگ چاپ', 'علی اصغر طبسی', 'اصغر حیدری', 'عزت الله رمضانی فر', 'یوسف قربانی', 'فریبا نادری', 'جواد زیتونی']",سید محمدرضا رئیسی,34,60%,
298,همسفران جابر,مستند - سیاسی تاریخی,1396,,سازمان هنری رسانه ای اوج,150,85%,
299,میهمان,مستند - سیاسی تاریخی,1396,,سازمان هنری رسانه ای اوج,86,78%,
300,از کاراکاس به کربلا,مستند - سیاسی تاریخی,1397,,سازمان هنری رسانه ای اوج,193,74%,
301,روز چهلم,مستند - سیاسی تاریخی,1397,,سازمان هنری رسانه ای اوج,91,74%,
302,خط سرخ,مستند - سیاسی تاریخی,1395,,سازمان هنری رسانه ای اوج,67,73%,
303,حلقه عاشقان,مستند - سیاسی تاریخی,1396,,سازمان هنری رسانه ای اوج,317,81%,
304,نعره حیدری,مستند - سیاسی تاریخی,1398,,سازمان هنری رسانه ای اوج,107,91%,
305,موکب مهر - میزبان,مستند - سیاسی تاریخی,1395,,سازمان هنری رسانه ای اوج,87,84%,
306,موکب مهر - تصحیح فاتحه,مستند - سیاسی تاریخی,1395,,سازمان هنری رسانه ای اوج,83,74%,
307,لیوان بین الحرمین,مستند - سیاسی تاریخی,1396,,سازمان هنری رسانه ای اوج,575,90%,
308,جرم یحیی,مستند - سیاسی تاریخی,1397,,سازمان هنری رسانه ای اوج,274,76%,
309,جاروهای بیصدا,مستند - سیاسی تاریخی,1396,,مجید فرجی عشق آباد,68,79%,
310,پیشکش ایرانی,مستند - سیاسی تاریخی,1398,,مجتبی رضوانی,160,90%,
311,از استکهلم تا کربلا,مستند - سیاسی تاریخی,1394,,محمد علی سجادی,323,81%,
312,ابوحسین,مستند - سیاسی تاریخی,1394,,سازمان هنری رسانه ای اوج,70,85%,
313,بی آب و نان...بیابان,مستند - پژوهشی,1397,"['علی اوسیوند', 'احمد ذبیحی', 'امیرحسین مهران جو', 'رسول نقیبیان', 'حسن ملائی']",مهدی گلستانیان,386,81%,
314,تا ابد,خانوادگی - اجتماعی,1398,"['محسن کیایی', 'میلاد کی مرام', 'مهرداد صدیقیان', 'بهرنگ علوی', 'ترلان پروانه']",امید امین نگارشی,9050,45%,
315,حس خوب زندگی,خانوادگی - اجتماعی,1395,"['علی انصاریان', 'حدیث فولادوند', 'نیما شاهرخ شاهی', 'فریبا نادری', 'علی پروین']",فرناز امینی,2231,80%,
316,عشق نیکان,خانوادگی - اجتماعی,1394,"['محمدرضا شیرخانلو', 'ملیکا شریفی نیا', 'نیما شاهرخ شاهی', 'علی کاظمی', 'سولماز حصاری', 'روشنک عجمیان']",فرناز امینی,1231,81%,
317,پل,فیلم کوتاه - انیمیشن,1395,,نوید تنظیفیان,52,82%,
318,بی حسی موضعی,خانوادگی - اجتماعی,1397,"['پارسا پیروزفر', 'سهیل مستجابیان', 'باران کوثری', 'حسن معجونی', 'حبیب رضایی']",حبیب رضایی,22783,59%,
319,جاده فرعی,خانوادگی - اجتماعی,1396,"['امیر رضا دلاوری', 'مارال فرجاد', 'عرفان اکبری', 'سعید بزمی پور', 'شاهرخ استخری']",پندار اکبری,2658,57%,
320,دوئت,عاشقانه - خانوادگی,1394,"['هدیه تهرانی', 'علی مصفا', 'نگار جواهریان', 'پانته آ پناهی ها', 'علیرضا آقاخانی', 'مرتضی فرشباف', 'مهسا طهماسبی']",نوید دانش,22473,47%,7.1
321,رضا,خانوادگی - عاشقانه,1396,"['علیرضا معتمدی', 'سحر دولتشاهی', 'رضا داوودنژاد', 'ستاره پسیانی', 'افسر اسدی']",علیرضا معتمدی,15672,63%,5.4
322,یه شام خوب,خانوادگی - اجتماعی,1394,"['لیلا اوتادی', 'هومن برق نورد', 'اشکان خطیبی', 'بهنام تشکر', 'اسماعیل سلطانیان']",مهدی مظلومی,728,60%,
323,یک بام و دو هوا,کمدی - خانوادگی,1388,"['محمد کاسبی', 'یوسف تیموری', 'فریبا نادری', 'رضا داوودنژاد', 'امیر نوری', 'داوود فتحعلی بیگی', 'شهین تسلیمی', 'رضا شفیعی جم']",یوسف تیموری,449,77%,
324,خون مردگی,مستند - اجتماعی,1392,,محمد کارت,4795,92%,
325,ساعت ۲۵,خانوادگی - اجتماعی,1385,"['امین تارخ', 'سید علی طباطبایی', 'پریوش نظریه', 'افسانه چهره آزاد', 'شاهرخ فروتنیان']",مسعود آب پرور,291,86%,
326,دو برادر,کمدی - خانوادگی,1389,"['بهنوش بختیاری', 'خشایار راد', 'کیانوش گرامی', 'عباس فکری', 'عباس محبوب']",محسن منشی زاده,827,82%,
327,تابستان عزیز,خانوادگی - اجتماعی,1388,"['رابعه مدنی', 'سروش صحت', 'مهران رجبی', 'صابر ابر']",امیرشهاب رضویان,275,84%,
328,بی بی خاتون,خانوادگی - اجتماعی,1388,"['پروانه معصومی', 'رسول نجفیان', 'افسر اسدی', 'عاطفه رضوی', 'علی قربان زاده', 'رز رضوی']",شهره لرستانی,160,79%,
329,سد در سد,مستند - اجتماعی,1399,,محمدجواد رئیسی,164,94%,
330,در جستجوی تاریخ گمشده,مستند - اجتماعی,1398,,ساسان فلاح فر,32,80%,
331,یک بقچه توهم,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیررضا وزیری', 'فرزین محدث', 'امیر غفارمنش', 'فردوس کاویانی']",کیومرث پوراحمد,48,75%,
332,آنا,مستند - سیاسی تاریخی,1393,,هادی حاجتمند,283,93%,
333,گردان قاطریزه,مستند - سیاسی تاریخی,1395,,مجتبی خیام الحسینی,506,95%,
334,والفجر,مستند - سیاسی تاریخی,1395,,مجتبی خیام الحسینی,193,85%,
335,از کردستان تا حلب,مستند - بیوگرافی,1397,,اصغر بختیاری,283,88%,
336,کوچه نقاش ها,مستند - بیوگرافی,1393,,مهدی مطهر,147,91%,
337,زمانی برای دیدن,مستند - بیوگرافی,1396,,حبیب باقرزاده,150,85%,
338,مهتاب,خانوادگی - اجتماعی,1393,"['مهتاب دهقان', 'ماهان دهقان', 'مرتضی ریحانی', 'حمید زائدی', 'رژین نیکو مهر']",وحید پاکزاد,152,66%,
339,اشک و سکوت,خانوادگی - اجتماعی,1390,"['لیلا بوشهری', 'زهرا اویسی', 'مینا جعفرزاده', 'کامران باختر', 'هما خاکپاش']",اصغر نصیری,346,59%,
340,کات کلانتری,کمدی - خانوادگی,1389,"['یوسف تیموری', 'مهدی صبایی', 'شراره رخام', 'نفیسه روشن', 'امیر نوری']",علی میری رامشه,708,75%,
341,قدرت عشق,خانوادگی - اجتماعی,1388,"['سیدجواد هاشمی', 'کاوه سماک باشی', 'مرتضی افضلی', 'پرستو نصرتی', 'سبا مهاجری']",علی میری رامشه,68,72%,
342,ملاقات محرمانه خانم و آقا,فیلم کوتاه - داستانی,1397,"['شیرین اسماعیلی', 'نیما نادری', 'محمدهادی عطایی', 'سایه قاسمی', 'ونوشه واحدی']",هاشم عطار,3781,89%,
343,مأموریت فرخنده,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'امیررضا وزیری', 'فردوس کاویانی', 'امیر غفارمنش']",کیومرث پوراحمد,67,80%,5.7
344,کبوتران خسته,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'علی اوسیوند', 'امیر غفارمنش', 'امیررضا وزیری']",کیومرث پوراحمد,56,72%,5.7
345,هی هو,فیلم کوتاه - داستانی,1397,"['روشنک گرامی', 'کیوان ساکت اُف', 'علیرضا استادی', 'منصور عربی']",امیرسجاد حسینی,2030,77%,
346,قهر و آشتی,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'امیر غفارمنش', 'فردوس کاویانی', 'امیررضا وزیری']",کیومرث پوراحمد,66,77%,5.7
347,قصه گمشده,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فردوس کاویانی', 'امیررضا وزیری', 'فرزین محدث', 'امیر غفارمنش']",کیومرث پوراحمد,73,74%,5.7
348,عنکبوت,خانوادگی - اجتماعی,1387,"['رسول توكلی', 'بهمن دان', 'پوراندخت مهیمن', 'مانا بهرامی', 'نسترن سورانی']",سیدمحمدرضا ممتاز,145,72%,
349,طبل بزرگ زیر پای چپ,تاریخی,1383,"['حسین محجوب', 'حمید فرخ نژاد', 'بابک حمیدیان']",کاظم معصومی,429,76%,
350,هایلایت,خانوادگی - اجتماعی,1396,"['پژمان بازغی', 'آزاده زارعی', 'جمشید هاشم پور', 'سام قریبیان', 'الهه حصاری', 'ساسان سالور']",اصغر نعیمی,18385,67%,
351,شبی با ستاره ها,خانوادگی - اجتماعی,1393,"['نوید محمدزاده', 'عزت الله انتظامی', 'رضا عطاران', 'فرامرز قریبیان', 'بهاره رهنما']",حمید رضا طالبی,275,84%,
352,محله من,خانوادگی - اجتماعی,1388,"['محسن افشانی', 'شهنام شهابی', 'کیمیا باباییان', 'کامران تفتی', 'پوراندخت مهیمن']",محسن ربیعی,68,70%,
353,شب سگی، معجزه صبح,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیر آقایی', 'فرزین محدث', 'امیررضا وزیری', 'امیر غفارمنش']",کیومرث پوراحمد,138,73%,5.7
354,سراسر شب,خانوادگی - اجتماعی,1396,"['الناز شاکردوست', 'امیر جعفری', 'افسانه چهره آزاد', 'سینا حجازی', 'آزاده صمدی', 'امیرحسام شجاعی', 'محمدمهدی سلطانی سروستانی', 'سحر نظام دوست']",فرزاد موتمن,6129,50%,4.0
355,پاپ,خانوادگی - اجتماعی,1392,"['حدیث چهره پرداز', 'مرضیه بردک نیا', 'غلامرضا فرج زاده', 'توماج پورمراد']",احسان عبدی پور,3067,90%,6.8
356,گزارش گمانه های یک ذهن,کمدی - خانوادگی,1391,"['علی قیومی', 'محسن قاضی مرادی', 'الهه خوشکام', 'سیف الله نامداری', 'رضا بینا']",وحید پاکزاد,151,66%,
357,رویا,خانوادگی - اجتماعی,1386,"['علی دهکردی', 'مریم کاویانی', 'فرانک فرهنگ', 'غزاله جزایری', 'اکبر وارث']",فریدون خسروی قلعه شاهرخی,117,71%,
358,سلام,خانوادگی - کودک,1382,"['علی دهکردی', 'میترا کرمی', 'سپهر آزادی', 'جواد صدیقی', 'مهدی ثانی']",جواد ارشاد,62,73%,
359,سوگواری صمیمانه,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'فردوس کاویانی', 'امیررضا وزیری', 'امیر غفارمنش']",کیومرث پوراحمد,70,62%,5.7
360,زندگینامه مستند فاضل اجبوری,مستند - بیوگرافی,1388,"['محمود پاک نیت', 'آتش تقی پور', 'حسن اکلیلی', 'احسان اکلیلی', 'مهوش صبرکن']",میلاد سهایی,76,86%,
361,روز از نو,خانوادگی - اجتماعی,1387,"['امیر آقایی', 'مهدی باقربیگی', 'معصومه میرحسینی', 'علی اکبری', 'علی ترابی']",مهرداد پوراحمد,284,82%,
362,دوربین نه چندان مخفی,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'امیررضا وزیری', 'فردوس کاویانی', 'امیر غفارمنش']",کیومرث پوراحمد,91,69%,5.7
363,دو برادر دو زن,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیر غفارمنش', 'فرزین محدث', 'امیررضا وزیری', 'فردوس کاویانی']",کیومرث پوراحمد,260,67%,5.7
364,خروس بی محل,کمدی - خانوادگی,1388,"['الیزابت امینی', 'مجید حسن زاده', 'فائزه جودتی', 'سهیلا خلانلویی', 'فاطمه پهلوان', 'ترلان پروانه', 'رضا شفیعی جم', 'مرتضی ضرابی', 'جواد زینعلی']",حسین قاسمی جامی,4447,89%,
365,حلقه های ازدواج,خانوادگی - اجتماعی,1388,"['مجید صالحی', 'رضا شفیعی جم', 'مهران غفوریان', 'شهره لرستانی', 'بهنوش بختیاری', 'مهران رجبی', 'کیومرث ملک مطیعی', 'جلیل فرجاد', 'محمد شیری', 'کیانوش گرامی', 'مریم سلطانی', 'شهناز شهبازی']",شاهین باباپور,1699,92%,
366,تولد جنجالی,خانوادگی - کمدی,1394,"['شقایق فراهانی', 'کامران تفتی', 'رز رضوی', 'زهره حمیدی', 'مهدی الیاسی', 'فریبا طالبی', 'ساناز حاجیلو']",شهره لرستانی,926,59%,
367,ته توی قضایا از دو طرف,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیررضا وزیری', 'فرزین محدث', 'فردوس کاویانی', 'امیر غفارمنش']",کیومرث پوراحمد,83,65%,5.7
368,تخمه ژاپنی,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیررضا وزیری', 'فرزین محدث', 'فردوس کاویانی', 'امیر غفارمنش']",کیومرث پوراحمد,120,72%,5.7
369,پشت صحنه رجب آرتیست می شود,کمدی - خانوادگی,1389,"['سحر قریشی', 'نیما شاهرخ شاهی', 'محمد شیری', 'شهین تسلیمی', 'سحر ترابی']",اسماعیل کردی,117,72%,
370,رجب آرتیست می شود,کمدی - خانوادگی,1392,"['سحر قریشی', 'نیما شاهرخ شاهی', 'شهین تسلیمی', 'محمد شیری', 'سحر ترابی']",کیوان صادقی,1132,62%,
371,ت مثل تقلب,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فردوس کاویانی', 'فرزین محدث', 'امیر غفارمنش', 'امیررضا وزیری']",کیومرث پوراحمد,87,71%,5.7
372,18-,خانوادگی - اجتماعی,1386,"['شهرام پوراسد', 'فرهاد مهادیان', 'میترا معرفت', 'روناک یونسی', 'مهدی مقدم', 'کاوه سماک باشی', 'ملکه رنجبر']",اصغر نصیری,290,73%,
373,پرستوهای عاشق,خانوادگی - عاشقانه,1389,"['آنا نعمتی', 'حامد کمیلی', 'مرتضی حسینی', 'نیوشا ضیغمی', 'یوسف تیموری', 'مژگان مظفری']",فریال بهزاد,1112,86%,4.3
374,پادرازی,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'فرزین محدث', 'امیر غفارمنش', 'فردوس کاویانی', 'رضا کیانیان']",کیومرث پوراحمد,78,80%,5.7
375,بی ستون چهل ستون,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'امیر غفارمنش', 'فردوس کاویانی', 'فرزین محدث', 'اکبر عبدی']",کیومرث پوراحمد,53,78%,5.7
376,بازی در بازی,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'مهرانه مهین ترابی', 'امیر غفارمنش', 'اکبر عبدی', 'رضا کیانیان']",کیومرث پوراحمد,87,80%,5.7
377,بابای دوست داشتنی,خانوادگی - اجتماعی,1391,"['اردلان شجاع كاوه', 'نادر سلیمانی', 'رابعه اسکویی', 'حسین معلومی', 'لیلا لطیفی']",شاهین باباپور,232,82%,
378,آن روی سکه,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'اکبر عبدی', 'امیر غفارمنش', 'مهرانه مهین ترابی', 'رضا کیانیان', 'ثریا قاسمی']",کیومرث پوراحمد,58,78%,5.7
379,آقا اجازه,خانوادگی - اجتماعی,1389,"['امیررضا وزیری', 'طناز طباطبایی', 'فرزین محدث', 'رضا بابک', 'امیر غفارمنش']",کیومرث پوراحمد,59,79%,5.7
380,آبگوشت مکبث,خانوادگی - کمدی,1389,"['طناز طباطبایی', 'اکبر عبدی', 'رضا کیانیان', 'مهرانه مهین ترابی', 'ثریا قاسمی']",کیومرث پوراحمد,82,68%,5.7
381,آب و آئینه,خانوادگی - اجتماعی,1393,"['بابک انصاری', 'حسن مکاریان', 'آناهیتا هولت هوفر', 'نجمه یزدی نژاد', 'امیررضا وزیری']",پوریا آذربایجانی,45,77%,
382,در سکوت,خانوادگی - اجتماعی,1394,"['فاطمه معتمدآریا', 'سعید پورصمیمی', 'ویشکا آسایش', 'سوگل خلیق', 'احترام برومند', 'پانته آ پناهی ها', 'محمدرضا غفاری', 'علیرضا کمالی']",ژرژ هاشم زاده,13210,82%,5.3
383,علمدار,خانوادگی - اجتماعی,1385,"['کامران باختر', 'حسین معلومی', 'مجید میرزاییان', 'عنایت بخشی', 'سعید نوری']",حسین بلنده,60,67%,
384,تپلی,خانوادگی - کودک,1389,"['بهنام قربانی', 'چنگیز وثوقی', 'فلور نظری', 'رضا حقیقی', 'ابوذر جلالی']",هوشنگ درویش پور,816,86%,
385,تنبل قهرمان,خانوادگی - کودک,1380,"['محمدرضا کسرایی', 'سپهر آزادی', 'محمود اردلان', 'خسرو احمدی', 'منوچهر آذری']",بهروز غریب پور,474,84%,
386,همکلاس,خانوادگی - اجتماعی,1380,"['علی قربان زاده', 'رامبد شکرآبی', 'حدیث فولادوند', 'پرستو صالحی', 'غلامعلی برجسته']",سعید خورشیدیان,223,75%,
387,دل های شیشه ای,خانوادگی - اجتماعی,1387,"['فرهاد مهادیان', 'آزیتا لاچینی', 'سعید شیخ زاده', 'هما خاکپاش', 'حجت الاسلام سیدمحمد حسینی']",سید مهدی نهاوندی,70,76%,
388,آدم باش، آدم,خانوادگی - اجتماعی,1389,"['امیررضا وزیری', 'طناز طباطبایی', 'فرزین محدث', 'مالک سراج', 'امیر غفارمنش', 'سولماز حصاری', 'سینا حسنی']",کیومرث پوراحمد,80,74%,5.7
389,ایستگاه اتمسفر,خانوادگی - اجتماعی,1395,"['محسن کیایی', 'آناهیتا افشار', 'سوگل قلاتیان', 'بابک بهشاد', 'رها خدایاری', 'ژاله صامتی', 'شاهرخ فروتنیان', 'رؤیا افشار']",مهدی جعفری,31147,87%,5.6
390,گیلدا,خانوادگی - اجتماعی,1395,"['مهناز افشار', 'حامد کمیلی', 'سیاوش مفیدی', 'هادی حجازی فر', 'حمیدرضا پگاه', 'رضا شفیعی جم', 'مهدیار عزیزی', 'مرتضی اسماعیل کاشی', 'سعید چنگیزیان', 'فرخ نعمتی']",امید بنکدار,12718,52%,3.8
391,حوا، مریم، عایشه,خانوادگی - اجتماعی,1398,"['Arezoo Ariapoor', 'Fereshta Afshar', 'Hasiba Ebrahimi']",Sahraa Karimi,4203,83%,6.1
392,زن ها فرشته اند 2,کمدی - خانوادگی,1398,"['محمدرضا شریفی نیا', 'نیوشا ضیغمی', 'سحر قریشی', 'نسرین مقانلو', 'میرطاهر مظلومی', 'سیروس همتی', 'مریم سعادت', 'مهتاج نجومی', 'شهین تسلیمی', 'صدیقه کیانفر', 'علی صادقی']",آرش معیریان,67253,83%,2.7
393,قبل رسیدنتون,فیلم کوتاه - داستانی,1399,"['رسول ادهمی', 'وحید عبدالحسینی', 'سعیده رودبارکی', 'مونا موسوی', 'سینا مهراد']",حامد وقاری,3782,85%,
394,خانه ای که ما را نداشت,فیلم کوتاه - داستانی,1399,"['ساغر سعادتی', 'سید علی مصطفوی']",میثم قره بلاغی,1009,44%,
395,به خاطر نیار,فیلم کوتاه - داستانی,1399,"['مهری آل آقا', 'شاهین خواجوی نژاد', 'ارسلان خوش نژاد', 'کامبیز مشیری', 'پریا طاهری']",حامد وقاری,308,59%,
396,دلشوره,خانوادگی - اجتماعی,1386,"['مجید مشیری', 'امیرمحمد زند', 'کوروش سلیمانی', 'معصومه میرحسینی', 'ملیکا طباخی']",مهرداد پوراحمد,81,74%,
397,ماراتن در قفس,خانوادگی - اجتماعی,1386,"['حسین شهریاری', 'زهره علیپور', 'داریوش بابائیان', 'بهرام سپهری']",نازنین شفیعیان,33,83%,
398,مرد حنجره طلایی,خانوادگی - اجتماعی,1382,,بهروز خلجی,159,90%,
399,لاک پشت,اکشن - هیجان انگیز,1375,"['جمشید هاشم پور', 'کتایون ریاحی', 'محمود پاک نیت', 'یوسف مرادیان', 'شهرام پوراسد']",علی شاه حاتمی,531,88%,5.8
